# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	11615
#@/user_id	0ba0088c-26ad-4165-b815-edfac2094e5f
a 	啊	c=33 d=1.71352 t=11615
geng di 	更低	c=1 d=2.73563e-16 t=11615
geng duo 	更多	c=1 d=6.54215e-09 t=11615
geng gao 	更高	c=1 d=3.39238e-18 t=11615
geng hao 	更好	c=3 d=7.42145e-18 t=11615
geng neng 	更能	c=2 d=0.0366992 t=11615
geng nian qi 	更年期	c=1 d=2.22668e-06 t=11615
geng shao 	更少	c=1 d=3.47826e-18 t=11615
geng si 	梗死	c=3 d=0.0031354 t=11615
geng wei 	更爲	c=4 d=0.00240764 t=11615
geng xin 	更新	c=3 d=0.0121552 t=11615
geng zhu 	梗住	c=1 d=0.010889 t=11615
geng zu 	梗阻	c=1 d=0.0109436 t=11615
geng zu xing 	梗阻性	c=1 d=8.92277e-13 t=11615
gong 	供	c=1 d=9.23253e-16 t=11615
gong 	共	c=0 d=6.77864e-16 t=11615
gong 	弓	c=1 d=1.14512e-06 t=11615
gong bei 	弓背	c=1 d=2.90983e-07 t=11615
gong e 	共軛	c=1 d=5.7189e-15 t=11615
gong ji 	供給	c=0 d=0.0106992 t=11615
gong ji ying yang 	供給營養	c=1 d=0.107528 t=11615
gong jia re 	供加熱	c=1 d=6.77864e-15 t=11615
gong jia re 	共加熱	c=1 d=6.81262e-15 t=11615
gong li 	公里	c=2 d=0.000161838 t=11615
gong neng 	功能	c=45 d=0.242283 t=11615
gong neng jian tui 	功能減退	c=1 d=3.83284e-13 t=11615
gong neng kang jin 	功能亢進	c=1 d=1.11472e-13 t=11615
gong neng xing 	功能性	c=1 d=3.67367e-14 t=11615
gong shi 	公式	c=1 d=2.84776e-18 t=11615
gong tong 	共同	c=2 d=4.60491e-15 t=11615
gong tong dian 	共同點	c=1 d=3.77321e-05 t=11615
gong ying 	供應	c=1 d=2.46295e-16 t=11615
gong zi 	工資	c=2 d=3.30748e-05 t=11615
gong zuo 	工作	c=1 d=7.9084e-05 t=11615
gou 	夠	c=1 d=1.99196e-19 t=11615
gou 	苟	c=1 d=1.5931e-08 t=11615
gou cheng 	構成	c=2 d=1.43011e-15 t=11615
gu 	故	c=7 d=0.610333 t=11615
gu 	股	c=1 d=9.64179e-14 t=11615
gu 	谷	c=2 d=2.59728e-12 t=11615
gu 	骨	c=3 d=1.29422e-18 t=11615
gu 	鼓	c=1 d=0.666977 t=11615
gu an suan 	穀氨酸	c=5 d=1.12769e-12 t=11615
gu ding 	固定	c=1 d=1.47824e-10 t=11615
gu dong mai 	股動脈	c=1 d=1.00864e-13 t=11615
gu ge 	谷歌	c=3 d=4.35997e-15 t=11615
gu ge ji 	骨骼肌	c=1 d=1.13431e-12 t=11615
gu guang gan tai 	谷胱甘肽	c=2 d=2.00339e-14 t=11615
gu ji 	估計	c=1 d=1.1396e-08 t=11615
gu li 	孤立	c=1 d=1.10196e-10 t=11615
gu li xing 	孤立性	c=1 d=3.08284e-10 t=11615
gu ming 	故名	c=1 d=4.86074e-14 t=11615
gu mo 	鼓膜	c=1 d=0.000256085 t=11615
gu suan 	估算	c=1 d=1.06622e-19 t=11615
gu ti 	固體	c=1 d=2.57632e-16 t=11615
gu you 	固有	c=2 d=1.33802e-18 t=11615
gua 	瓜	c=1 d=3.04584e-15 t=11615
gua tai 	寡肽	c=1 d=8.03475e-15 t=11615
gua zai 	掛在	c=1 d=0.136014 t=11615
gua zai 	掛載	c=1 d=0.136695 t=11615
guai shi 	怪事	c=1 d=0.0114473 t=11615
guan 	管	c=6 d=0.0194709 t=11615
guan bi 	管壁	c=2 d=0.00292342 t=11615
guan bi 	關閉	c=17 d=0.181952 t=11615
guan bi bu quan 	關閉不全	c=6 d=3.41809e-13 t=11615
guan cha 	觀察	c=2 d=0.786628 t=11615
guan fang 	官方	c=1 d=0.008271 t=11615
guan jian 	關鍵	c=1 d=3.41414e-05 t=11615
guan jie 	關節	c=1 d=8.30229e-18 t=11615
guan li qi 	管理器	c=1 d=2.56748e-05 t=11615
guan liu 	灌流	c=1 d=5.49185e-09 t=11615
guan qiang 	管腔	c=2 d=0.00394621 t=11615
guan qiang nei 	管腔內	c=1 d=1.74431e-16 t=11615
guan wai 	關外	c=0 d=6.12086e-21 t=11615
guan xi 	灌洗	c=1 d=2.90934e-05 t=11615
guan xi 	關係	c=4 d=1.47088e-10 t=11615
guan xin bing 	冠心病	c=7 d=7.46533e-06 t=11615
guan zhu 	灌注	c=2 d=3.38993e-08 t=11615
guang 	光	c=1 d=1.36199e-17 t=11615
guang an suan 	胱氨酸	c=1 d=9.24217e-15 t=11615
guang biao 	光標	c=1 d=6.007e-05 t=11615
guang du 	廣度	c=1 d=1.10973e-19 t=11615
guang fan 	廣泛	c=2 d=0.0169922 t=11615
guang fan xing 	廣泛性	c=1 d=0.000561443 t=11615
guang hua 	光滑	c=1 d=1.64273e-16 t=11615
guang mian 	光面	c=1 d=7.41575e-13 t=11615
gui 	歸	c=1 d=0.241714 t=11615
gui 	貴	c=1 d=0.00775048 t=11615
gui ge 	規格	c=1 d=6.39605e-08 t=11615
gui ji 	軌跡	c=1 d=3.13156e-18 t=11615
gui lv 	規律	c=4 d=0.341298 t=11615
gui su 	歸宿	c=1 d=3.81243e-09 t=11615
gui ze 	規則	c=3 d=0.00168667 t=11615
guo 	過	c=3 d=0.00169396 t=11615
guo bao 	過胞	c=1 d=0.00782838 t=11615
guo chan 	國產	c=2 d=0.0183755 t=11615
guo cheng 	過程	c=9 d=1.66826e-14 t=11615
guo da 	過大	c=1 d=6.07357e-17 t=11615
guo du 	過度	c=3 d=0.123648 t=11615
guo duo 	過多	c=3 d=9.06693e-10 t=11615
guo gao 	過高	c=0 d=3.0532e-15 t=11615
guo huan 	過環	c=1 d=4.13923e-06 t=11615
guo nei 	國內	c=2 d=0.900909 t=11615
guo qing 	過清	c=1 d=0.67368 t=11615
guo qu 	過去	c=1 d=4.10935e-09 t=11615
guo su 	過速	c=5 d=0.00184087 t=11615
ha 	哈	c=1 d=0.0122161 t=11615
ha ha 	哈哈	c=3 d=8.28364e-05 t=11615
hai 	還	c=6 d=0.0125994 t=11615
hai bao kuo 	還包括	c=1 d=1.78847e-16 t=11615
hai bu cuo 	還不錯	c=1 d=0.00554422 t=11615
hai bu shi 	還不是	c=1 d=1.74704e-05 t=11615
hai ke neng 	還可能	c=1 d=4.35146e-06 t=11615
hai ke yi 	還可以	c=2 d=0.00682665 t=11615
hai neng yong 	還能用	c=1 d=0.00565622 t=11615
hai yao 	還要	c=1 d=5.08188e-08 t=11615
han 	含	c=2 d=6.72472e-15 t=11615
han dan 	含氮	c=1 d=1.98135e-15 t=11615
han dian 	含碘	c=1 d=6.79734e-18 t=11615
han liang 	含量	c=3 d=3.37048e-12 t=11615
han qi 	含氣	c=0 d=1.58268e-20 t=11615
han qi zu zhi 	含氣組織	c=1 d=1.59061e-19 t=11615
han re 	寒熱	c=1 d=0.00013776 t=11615
han shu 	函數	c=1 d=3.32984e-05 t=11615
han ye 	汗液	c=0 d=2.01718e-21 t=11615
han ye lei ye 	汗液淚液	c=1 d=2.02729e-20 t=11615
han you 	含有	c=4 d=8.0779e-15 t=11615
han zhan 	寒戰	c=1 d=0.00118265 t=11615
hang 	行	c=3 d=0.000174823 t=11615
hang hao 	行號	c=1 d=0.000112788 t=11615
hao 	好	c=4 d=7.40169e-05 t=11615
hao 	號	c=2 d=8.94526e-05 t=11615
hao fa 	好發	c=1 d=0.000769323 t=11615
hao jiu 	好久	c=1 d=6.96349e-08 t=11615
hao sheng 	毫升	c=1 d=4.50412e-13 t=11615
hao xiang 	好像	c=2 d=0.00804293 t=11615
he 	和	c=188 d=4.78903 t=11615
he 	核	c=2 d=0.191666 t=11615
he bing 	合併	c=9 d=0.133105 t=11615
he bing fei pang 	合併肥胖	c=1 d=2.19353e-06 t=11615
he bing you 	合併有	c=1 d=3.30524e-06 t=11615
he cheng 	合成	c=6 d=1.42667e-05 t=11615
he li 	合理	c=0 d=2.92541e-12 t=11615
he li xuan ze 	合理選擇	c=1 d=2.94008e-11 t=11615
he shi 	合適	c=2 d=0.0620385 t=11615
he su 	核素	c=1 d=9.42406e-09 t=11615
he suan 	覈算	c=3 d=1.14167e-07 t=11615
he xin 	核心	c=2 d=0.000168234 t=11615
he yong 	合用	c=1 d=2.71967e-06 t=11615
hei bai 	黑白	c=3 d=5.87361e-18 t=11615
hei se 	黑色	c=2 d=1.26739e-17 t=11615
hen 	很	c=2 d=0.0115624 t=11615
hen da 	很大	c=1 d=0.000300519 t=11615
hen di 	很低	c=1 d=1.19246e-12 t=11615
hen qiang 	很強	c=1 d=3.12188e-11 t=11615
hen shao 	很少	c=3 d=0.0013329 t=11615
heng 	橫	c=1 d=0.00637737 t=11615
heng bo 	橫波	c=1 d=3.9116e-17 t=11615
heng ding 	恆定	c=1 d=1.86952e-08 t=11615
heng ge 	哼歌	c=1 d=5.19796e-09 t=11615
heng ge 	橫隔	c=1 d=5.2502e-09 t=11615
heng xiang 	橫向	c=2 d=1.85231e-16 t=11615
heng zuo biao 	橫座標	c=1 d=6.9706e-20 t=11615
hong bai 	紅白	c=1 d=1.32791e-13 t=11615
hong ban 	紅斑	c=1 d=8.46281e-08 t=11615
hong mei su 	紅黴素	c=2 d=0.000489732 t=11615
hong se 	紅色	c=2 d=0.131336 t=11615
hong xi bao 	紅細胞	c=3 d=0.141717 t=11615
hong xi bao zhe 	紅細胞者	c=1 d=0.00733572 t=11615
hou 	厚	c=1 d=0.00167826 t=11615
hou 	後	c=28 d=0.520624 t=11615
hou bi 	厚壁	c=1 d=0.00184551 t=11615
hou bu 	喉部	c=1 d=0.000739157 t=11615
hou du 	厚度	c=6 d=3.88037e-17 t=11615
hou duan 	後端	c=1 d=0.000784864 t=11615
hou fang 	後方	c=3 d=2.67574e-15 t=11615
hou fu he 	後負荷	c=3 d=4.60067e-09 t=11615
hou qi 	後期	c=2 d=0.0761538 t=11615
hou yi dong 	後移動	c=1 d=0.000599149 t=11615
hou zhe 	後者	c=1 d=5.3185e-14 t=11615
hu 	呼	c=4 d=0.195019 t=11615
hu die 	蝴蝶	c=1 d=1.08946e-08 t=11615
hu lian 	互聯	c=1 d=0.481909 t=11615
hu po suan 	琥珀酸	c=1 d=3.12294e-15 t=11615
hu qi 	呼氣	c=5 d=0.0827176 t=11615
hu qi xing 	呼氣性	c=2 d=0.0298684 t=11615
hu qi yin 	呼氣音	c=1 d=0.0173355 t=11615
hu ran 	忽然	c=1 d=3.90761e-05 t=11615
hu suan 	呼酸	c=1 d=0.0290133 t=11615
hu xi 	呼吸	c=27 d=0.950689 t=11615
hu xi dao 	呼吸道	c=3 d=0.0834793 t=11615
hu xi gai bian 	呼吸改變	c=1 d=0.00173804 t=11615
hu xi ji 	呼吸機	c=2 d=0.114231 t=11615
hu xi jiong po 	呼吸窘迫	c=1 d=0.000287295 t=11615
hu xi kun nan 	呼吸困難	c=2 d=7.75886e-07 t=11615
hu xi xing 	呼吸性	c=2 d=0.000110953 t=11615
hu xi yin 	呼吸音	c=3 d=0.277306 t=11615
hu xin 	互信	c=1 d=8.3167e-09 t=11615
hu xing 	弧形	c=1 d=0.843665 t=11615
hu ya 	虎牙	c=2 d=3.62817e-05 t=11615
hua 	化	c=2 d=1.25486e-14 t=11615
hua 	華	c=1 d=1.613e-07 t=11615
hua fa lin 	華法林	c=1 d=4.05865e-10 t=11615
hua fen chi 	化糞池	c=1 d=3.48311e-05 t=11615
hua guo cheng 	化過程	c=1 d=2.87687e-20 t=11615
hua he wu 	化合物	c=3 d=1.77052e-13 t=11615
hua liao 	化療	c=1 d=0.336216 t=11615
hua nong 	化膿	c=1 d=0.000911882 t=11615
hua shuo 	話說	c=3 d=0.000255701 t=11615
hua xi 	華西	c=2 d=7.17556e-08 t=11615
hua xue 	化學	c=1 d=0.00755912 t=11615
huai si 	壞死	c=7 d=0.74919 t=11615
huai yi 	懷疑	c=2 d=9.92861e-11 t=11615
huai yi wei 	懷疑爲	c=1 d=5.60375e-11 t=11615
huan 	環	c=2 d=6.71276e-10 t=11615
huan ai 	患癌	c=1 d=1.01404e-17 t=11615
huan bing 	患病	c=1 d=9.85447e-05 t=11615
huan ce 	患側	c=1 d=0.904837 t=11615
huan cun 	緩存	c=1 d=0.145876 t=11615
huan hang 	換行	c=1 d=9.18825e-05 t=11615
huan hua 	環化	c=1 d=1.21069e-14 t=11615
huan jing 	環境	c=5 d=0.128191 t=11615
huan man 	緩慢	c=2 d=0.00164502 t=11615
huan neng qi 	換能期	c=1 d=1.1234e-16 t=11615
huan xing 	環形	c=1 d=0.00644146 t=11615
huan yuan 	還原	c=2 d=9.82364e-15 t=11615
huan yuan chan wu 	還原產物	c=1 d=7.09065e-15 t=11615
huan yuan ji 	還原劑	c=1 d=1.05252e-14 t=11615
huan yuan mei 	還原酶	c=1 d=1.11203e-14 t=11615
huan yuan xing 	還原性	c=1 d=1.03168e-14 t=11615
huan zhe 	患者	c=14 d=0.0536646 t=11615
huang bian zheng 	黃變症	c=1 d=0.00995182 t=11615
huang dan 	黃疸	c=8 d=1.27566e-10 t=11615
huang he se 	黃褐色	c=1 d=0.131994 t=11615
hui 	回	c=2 d=0.0106402 t=11615
hui 	會	c=2 d=5.19619e-05 t=11615
hui 	灰	c=1 d=1.73951e-13 t=11615
hui bai se 	灰白色	c=1 d=1.62274e-19 t=11615
hui bu hui 	會不會	c=1 d=0.00597602 t=11615
hui chu 	揮出	c=1 d=7.00554e-20 t=11615
hui chu 	繪出	c=1 d=7.04066e-20 t=11615
hui du 	灰度	c=9 d=4.38827e-17 t=11615
hui fu 	恢復	c=1 d=4.1614e-10 t=11615
hui jie 	灰階	c=1 d=1.54707e-16 t=11615
hui ju 	會聚	c=2 d=1.25042e-15 t=11615
hui ju hou 	會聚後	c=1 d=9.69259e-16 t=11615
hui liu 	迴流	c=2 d=9.0361e-08 t=11615
hui liu zheng 	迴流徵	c=1 d=1.78264e-07 t=11615
hui se 	灰色	c=1 d=1.23856e-17 t=11615
hui sheng 	回聲	c=5 d=2.30059e-15 t=11615
hui tui 	回退	c=1 d=0.000152248 t=11615
hui xue 	回血	c=1 d=0.00456197 t=11615
hui zhi 	繪製	c=1 d=7.36473e-20 t=11615
hui zi dong 	回自動	c=1 d=0.0117959 t=11615
hun ru 	混入	c=1 d=0.0415857 t=11615
hun zhuo 	渾濁	c=1 d=0.121846 t=11615
huo 	或	c=85 d=2.49936 t=11615
huo 	活	c=3 d=1.69933e-20 t=11615
huo cun zai 	或存在	c=1 d=5.03388e-14 t=11615
huo de 	獲得	c=3 d=3.17818e-17 t=11615
huo de xing 	獲得性	c=3 d=0.00254972 t=11615
huo dong 	活動	c=12 d=9.09899e-06 t=11615
huo dong xing 	活動性	c=1 d=2.30717e-12 t=11615
huo jian 	活檢	c=1 d=1.66614e-06 t=11615
huo qu yu 	或區域	c=1 d=5.45499e-18 t=11615
huo ti 	活體	c=1 d=2.43845e-16 t=11615
huo xing 	活性	c=4 d=1.27513e-12 t=11615
huo zhe 	或者	c=1 d=1.69161e-08 t=11615
ji 	劑	c=1 d=6.82071e-19 t=11615
ji 	即	c=9 d=0.566138 t=11615
ji 	及	c=33 d=0.936826 t=11615
ji 	機	c=2 d=0.000941925 t=11615
ji 	級	c=12 d=9.06517e-05 t=11615
ji ben 	基本	c=15 d=0.00167826 t=11615
ji ben shang 	基本上	c=1 d=0.271173 t=11615
ji bi ji 	記筆記	c=1 d=7.23142e-11 t=11615
ji bie 	級別	c=1 d=2.72625e-05 t=11615
ji bing 	疾病	c=19 d=0.0734957 t=11615
ji bing de 	疾病的	c=1 d=3.2186e-17 t=11615
ji chu 	基礎	c=4 d=3.17189e-08 t=11615
ji cu 	急促	c=1 d=5.96668e-14 t=11615
ji di 	基地	c=1 d=0.00082099 t=11615
ji dong 	激動	c=1 d=2.68566e-05 t=11615
ji fa 	激發	c=4 d=0.0902578 t=11615
ji fa 	繼發	c=5 d=1.8612 t=11615
ji fa xing 	繼發性	c=2 d=0.141564 t=11615
ji fa yu 	繼發於	c=1 d=1.15982e-09 t=11615
ji fen 	積分	c=1 d=8.22108e-20 t=11615
ji ge yue 	幾個月	c=1 d=5.01747e-05 t=11615
ji hu 	幾乎	c=3 d=0.00577423 t=11615
ji huan 	疾患	c=1 d=3.26391e-05 t=11615
ji hui 	機會	c=1 d=0.331211 t=11615
ji huo 	激活	c=2 d=5.29375e-09 t=11615
ji jian 	肌腱	c=1 d=2.61347e-08 t=11615
ji ju 	急劇	c=1 d=2.41254e-08 t=11615
ji ju 	集聚	c=1 d=0.017163 t=11615
ji ke 	即可	c=2 d=1.49284e-08 t=11615
ji li 	機理	c=2 d=0.08291 t=11615
ji liang 	劑量	c=11 d=0.00855298 t=11615
ji liang di 	劑量低	c=1 d=0.0858632 t=11615
ji qi 	及其	c=8 d=0.0254765 t=11615
ji qi 	幾期	c=3 d=2.22639e-11 t=11615
ji qi 	機器	c=0 d=4.53213e-15 t=11615
ji qi zhuan dong 	機器轉動	c=1 d=4.55484e-14 t=11615
ji rou 	肌肉	c=7 d=0.000499717 t=11615
ji shi 	及時	c=1 d=0.0478349 t=11615
ji shu 	技術	c=4 d=2.58217e-18 t=11615
ji su 	激素	c=4 d=0.0889794 t=11615
ji suan 	計算	c=5 d=0.000488095 t=11615
ji sui 	脊髓	c=5 d=0.108239 t=11615
ji ti 	機體	c=2 d=8.95331e-20 t=11615
ji tiao 	幾條	c=1 d=1.87079e-16 t=11615
ji tuan 	基團	c=2 d=5.49466e-15 t=11615
ji wei 	即爲	c=2 d=0.00402593 t=11615
ji xie 	機械	c=1 d=4.64449e-09 t=11615
ji xie fu zhu 	機械輔助	c=1 d=4.66777e-08 t=11615
ji xing 	急性	c=38 d=0.146456 t=11615
ji xing 	極性	c=5 d=0.771052 t=11615
ji xing gan yan 	急性肝炎	c=2 d=7.61288e-11 t=11615
ji xing zhi fang 	極性脂肪	c=1 d=3.46869e-15 t=11615
ji xu 	繼續	c=3 d=0.0274154 t=11615
ji ye 	積液	c=14 d=0.441559 t=11615
ji yin 	基因	c=2 d=0.219917 t=11615
ji you 	既有	c=1 d=1.88081e-20 t=11615
ji yu 	基於	c=2 d=2.34475e-18 t=11615
ji yu 	給予	c=2 d=0.110251 t=11615
ji zhi 	機制	c=14 d=0.461873 t=11615
ji zhi 	繼之	c=1 d=0.625002 t=11615
ji zou 	急驟	c=1 d=0.612626 t=11615
jia 	假	c=2 d=0.0263839 t=11615
jia 	加	c=5 d=0.000471792 t=11615
jia 	鉀	c=3 d=2.84568e-05 t=11615
jia ben 	甲苯	c=1 d=7.27386e-21 t=11615
jia cha 	加查	c=3 d=1.51912e-10 t=11615
jia jian 	甲減	c=1 d=1.17735e-09 t=11615
jia ju 	加劇	c=1 d=8.06953e-07 t=11615
jia kang 	甲亢	c=5 d=3.27231e-09 t=11615
jia kuai 	加快	c=3 d=0.0208045 t=11615
jia qing 	加氫	c=1 d=1.45648e-12 t=11615
jia re 	加熱	c=0 d=2.06496e-15 t=11615
jia re fen jie 	加熱分解	c=1 d=7.16191e-15 t=11615
jia shang 	加上	c=1 d=6.50841e-07 t=11615
jia she 	假設	c=3 d=1.96337e-19 t=11615
jia su 	加速	c=1 d=0.00017252 t=11615
jia yi 	加以	c=1 d=3.68255e-13 t=11615
jia zai 	加載	c=2 d=0.000187825 t=11615
jia zhi 	價值	c=1 d=1.42468e-17 t=11615
jia zhong 	加重	c=1 d=1.09209e-07 t=11615
jia zhong 	家中	c=2 d=1.09934e-07 t=11615
jia zhuang 	加裝	c=1 d=6.25854e-17 t=11615
jia zhuang xian 	甲狀腺	c=4 d=5.18556e-12 t=11615
jia zhuang xian gong neng 	甲狀腺功能	c=1 d=1.37521e-13 t=11615
jia zu 	家族	c=2 d=1.05923e-20 t=11615
jian 	件	c=1 d=0.000149233 t=11615
jian 	兼	c=0 d=5.5222e-16 t=11615
jian 	尖	c=1 d=8.17173e-08 t=11615
jian 	建	c=1 d=7.37374e-05 t=11615
jian 	間	c=11 d=0.000563884 t=11615
jian 	鹼	c=3 d=0.0594127 t=11615
jian bian 	簡便	c=1 d=0.0285814 t=11615
jian bie 	鑑別	c=9 d=0.117655 t=11615
jian ce 	檢測	c=2 d=0.000107825 t=11615
jian cha 	檢查	c=56 d=1.10261 t=11615
jian cha shi 	檢查時	c=2 d=3.87628e-11 t=11615
jian cheng 	簡稱	c=1 d=2.94869e-16 t=11615
jian da ti 	簡答題	c=9 d=0.0386105 t=11615
jian dan 	簡單	c=1 d=3.36388e-07 t=11615
jian duan 	尖端	c=1 d=0.000633025 t=11615
jian ge 	間隔	c=0 d=2.31913e-15 t=11615
jian guo 	堅果	c=2 d=0.940033 t=11615
jian hou 	堅厚	c=1 d=5.94824e-07 t=11615
jian hua 	簡化	c=1 d=6.28349e-05 t=11615
jian jia 	肩胛	c=0 d=1.56533e-08 t=11615
jian jia xia 	肩胛下	c=2 d=2.811e-05 t=11615
jian jie 	間接	c=1 d=1.04963e-18 t=11615
jian jie fan ying 	間接反應	c=1 d=7.25508e-20 t=11615
jian ju 	間距	c=3 d=0.00388746 t=11615
jian kang 	健康	c=1 d=3.83219e-11 t=11615
jian lie 	間裂	c=0 d=1.47748e-05 t=11615
jian man 	減慢	c=4 d=0.00180897 t=11615
jian qi 	間期	c=2 d=3.21734e-07 t=11615
jian qing 	減輕	c=1 d=5.47674e-06 t=11615
jian rui 	尖銳	c=0 d=1.15962e-08 t=11615
jian rui xing 	尖銳性	c=1 d=1.16544e-07 t=11615
jian ruo 	減弱	c=14 d=0.700226 t=11615
jian shao 	減少	c=17 d=1.01701 t=11615
jian shen 	健身	c=3 d=0.000269226 t=11615
jian shu 	簡述	c=5 d=0.226792 t=11615
jian tie ban 	剪貼板	c=1 d=0.000200439 t=11615
jian tui 	減退	c=0 d=3.81372e-14 t=11615
jian wei 	鍵位	c=1 d=0.000111666 t=11615
jian xi 	間隙	c=1 d=0.0672055 t=11615
jian xiao 	減小	c=1 d=3.81178e-07 t=11615
jian xie 	間歇	c=1 d=0.0293049 t=11615
jian xing 	鹼性	c=5 d=0.509156 t=11615
jian xing li zi 	兼性離子	c=1 d=5.54988e-15 t=11615
jian yan 	檢驗	c=1 d=4.49482e-05 t=11615
jian ying 	減影	c=6 d=3.29227e-18 t=11615
jian you 	兼有	c=3 d=9.83675e-06 t=11615
jian yu 	見於	c=13 d=0.315042 t=11615
jian zhi 	簡直	c=1 d=0.00113334 t=11615
jian zhi jiu shi 	簡直就是	c=1 d=0.0113902 t=11615
jian zhong du 	鹼中毒	c=3 d=0.105511 t=11615
jiang 	將	c=6 d=5.97704e-05 t=11615
jiang di 	降低	c=15 d=1.13602 t=11615
jiang hui 	將會	c=1 d=3.19928e-05 t=11615
jiang ji ti 	將機體	c=1 d=4.9121e-20 t=11615
jiang jie 	講解	c=1 d=2.44351e-11 t=11615
jiang jie 	降解	c=4 d=1.02868e-05 t=11615
jiang mo 	漿膜	c=2 d=0.0158172 t=11615
jiang mo qiang 	漿膜腔	c=3 d=0.0481068 t=11615
jiang qi 	將其	c=1 d=5.67569e-14 t=11615
jiang tang 	降糖	c=1 d=4.39519e-06 t=11615
jiang ya 	降壓	c=4 d=2.28297e-05 t=11615
jiang ya yao 	降壓藥	c=1 d=2.36437e-06 t=11615
jiang ye 	漿液	c=1 d=0.00144449 t=11615
jiang zheng ti 	將整體	c=1 d=4.27038e-20 t=11615
jiao 	焦	c=1 d=1.22286e-14 t=11615
jiao 	較	c=10 d=0.025188 t=11615
jiao cheng 	教程	c=1 d=1.6919e-10 t=11615
jiao da 	較大	c=3 d=0.255381 t=11615
jiao di 	較低	c=4 d=1.91638e-14 t=11615
jiao dian 	焦點	c=1 d=3.1004e-18 t=11615
jiao du 	角度	c=2 d=3.83562e-13 t=11615
jiao duo 	較多	c=1 d=1.04999e-15 t=11615
jiao gan 	交感	c=3 d=8.21507e-06 t=11615
jiao gao 	較高	c=5 d=3.65286e-06 t=11615
jiao gao shi 	較高時	c=1 d=3.16357e-20 t=11615
jiao hao 	較好	c=1 d=0.00551656 t=11615
jiao jie 	交接	c=1 d=0.00117675 t=11615
jiao jie 	交界	c=0 d=7.9521e-12 t=11615
jiao jie 	酵解	c=0 d=0.00889216 t=11615
jiao jie qu 	交界區	c=3 d=1.03942e-09 t=11615
jiao kuai 	較快	c=1 d=3.27236e-06 t=11615
jiao pian 	膠片	c=1 d=2.42085e-19 t=11615
jiao qi bing 	腳氣病	c=3 d=1.82158e-09 t=11615
jiao qiang 	較強	c=4 d=0.000677836 t=11615
jiao shao 	較少	c=0 d=0.000677172 t=11615
jiao shao shi 	較少時	c=1 d=0.00680566 t=11615
jiao ti 	交替	c=5 d=0.000382034 t=11615
jiao ti gai bian 	交替改變	c=1 d=1.33457e-13 t=11615
jiao tong 	交通	c=0 d=0.0571209 t=11615
jiao tong 	絞痛	c=1 d=1.15125e-10 t=11615
jiao tong xing 	交通性	c=1 d=0.574072 t=11615
jiao wei 	較爲	c=1 d=2.17955e-19 t=11615
jiao xiao 	較小	c=2 d=5.13266e-17 t=11615
jiao yuan 	膠原	c=6 d=8.33517e-11 t=11615
jie 	結	c=1 d=1.08565e-10 t=11615
jie chang ai 	結腸癌	c=1 d=0.0244775 t=11615
jie chu 	接觸	c=1 d=3.09987e-16 t=11615
jie chu 	解除	c=2 d=9.49945e-07 t=11615
jie gou 	結構	c=18 d=1.76832e-14 t=11615
jie gou he 	結構和	c=1 d=2.16794e-15 t=11615
jie he 	結合	c=20 d=4.08386 t=11615
jie he 	結核	c=11 d=0.683952 t=11615
jie he bing 	結核病	c=6 d=0.912784 t=11615
jie he jun su 	結核菌素	c=1 d=0.173774 t=11615
jie he lv 	結合率	c=2 d=1.17815 t=11615
jie he xing 	結核性	c=2 d=8.018e-07 t=11615
jie jie 	結節	c=1 d=2.80927e-05 t=11615
jie jin 	接近	c=1 d=2.00126e-15 t=11615
jie kang 	拮抗	c=2 d=4.87531e-06 t=11615
jie ke 	皆可	c=1 d=9.47291e-11 t=11615
jie li 	解離	c=3 d=0.683861 t=11615
jie li cheng 	解離成	c=1 d=5.04691e-15 t=11615
jie lv 	戒律	c=0 d=6.08722e-15 t=11615
jie lv 	節律	c=2 d=5.62349e-10 t=11615
jie lv gui ze 	戒律規則	c=1 d=6.11773e-14 t=11615
jie mian 	界面	c=9 d=5.46767e-15 t=11615
jie pou 	解剖	c=2 d=8.87453e-05 t=11615
jie pou xue 	解剖學	c=1 d=1.72696e-16 t=11615
jie ru 	介入	c=2 d=1.04997e-18 t=11615
jie shi 	解釋	c=17 d=0.0142681 t=11615
jie shou qi 	接收器	c=1 d=1.24155e-16 t=11615
jie shu 	結束	c=1 d=0.0523397 t=11615
jie zhi 	介質	c=4 d=2.52722e-15 t=11615
jie zhi zhong 	介質中	c=1 d=2.5253e-16 t=11615
jin 	僅	c=2 d=0.00179097 t=11615
jin 	進	c=1 d=7.73837e-14 t=11615
jin 	金	c=2 d=0.303336 t=11615
jin chang 	近場	c=3 d=1.44066e-16 t=11615
jin cheng 	進程	c=1 d=0.0265162 t=11615
jin duan 	近端	c=2 d=2.29584e-20 t=11615
jin ji zheng 	禁忌症	c=7 d=5.57299e-05 t=11615
jin liang 	儘量	c=1 d=1.82491e-18 t=11615
jin ri 	今日	c=1 d=2.85173e-05 t=11615
jin ru 	進入	c=10 d=0.973625 t=11615
jin run 	浸潤	c=4 d=0.231755 t=11615
jin shen 	謹慎	c=2 d=1.37609e-05 t=11615
jin xing 	進行	c=13 d=6.85308e-05 t=11615
jin yi bu 	進一步	c=3 d=0.0385214 t=11615
